count,time,presortedPercentage,descending
10000,3.324479,0.000000,0
10000,6.097551,0.000000,0
10000,2.484687,0.000000,0
10000,3.326292,0.000000,0
10000,3.034184,0.000000,0
10000,3.209497,0.000000,0
10000,2.448187,0.000000,0
10000,3.171020,0.000000,0
10000,2.534908,0.000000,0
10000,2.563741,0.000000,0
10000,3.455679,0.000000,0
10000,2.524727,0.000000,0
10000,2.912347,0.000000,0
10000,3.031853,0.000000,0
10000,2.897815,0.000000,0
10000,3.012190,0.000000,0
10000,2.853610,0.000000,0
10000,2.742160,0.000000,0
10000,2.902554,0.000000,0
10000,2.831630,0.000000,0
10000,2.450647,0.000000,0
10000,3.044564,0.000000,0
10000,2.497221,0.000000,0
10000,2.408067,0.000000,0
10000,2.583240,0.000000,0
10000,2.565138,0.000000,0
10000,2.448994,0.000000,0
10000,2.480062,0.000000,0
10000,2.326759,0.000000,0
10000,2.656412,0.000000,0
10000,2.427392,0.000000,0
10000,2.352450,0.000000,0
10000,2.323722,0.000000,0
10000,2.510479,0.000000,0
10000,2.386038,0.000000,0
10000,2.460938,0.000000,0
10000,2.780404,0.000000,0
10000,2.359534,0.000000,0
10000,3.299519,0.000000,0
10000,3.316026,0.000000,0
10000,2.415668,0.000000,0
10000,2.374744,0.000000,0
10000,2.352445,0.000000,0
10000,2.887919,0.000000,0
10000,2.478714,0.000000,0
10000,2.341538,0.000000,0
10000,2.324032,0.000000,0
10000,3.296082,0.000000,0
10000,2.362841,0.000000,0
10000,3.351914,0.000000,0
10000,2.332670,0.000000,0
10000,2.310675,0.000000,0
10000,2.354595,0.000000,0
10000,2.358272,0.000000,0
10000,2.374925,0.000000,0
10000,2.338501,0.000000,0
10000,2.465617,0.000000,0
10000,2.726935,0.000000,0
10000,2.726480,0.000000,0
10000,2.778900,0.000000,0
10000,2.632831,0.000000,0
10000,2.883078,0.000000,0
10000,2.529921,0.000000,0
10000,3.284929,0.000000,0
10000,2.579843,0.000000,0
10000,2.526440,0.000000,0
10000,2.394971,0.000000,0
10000,2.470794,0.000000,0
10000,2.335296,0.000000,0
10000,2.424714,0.000000,0
10000,2.389870,0.000000,0
10000,2.342936,0.000000,0
10000,2.357641,0.000000,0
10000,2.768569,0.000000,0
10000,2.311357,0.000000,0
10000,2.354014,0.000000,0
10000,3.033622,0.000000,0
10000,2.336893,0.000000,0
10000,2.353768,0.000000,0
10000,2.412451,0.000000,0
10000,2.325956,0.000000,0
10000,2.341187,0.000000,0
10000,3.324709,0.000000,0
10000,2.413563,0.000000,0
10000,2.618805,0.000000,0
10000,2.772326,0.000000,0
10000,2.605645,0.000000,0
10000,2.504737,0.000000,0
10000,2.860324,0.000000,0
10000,2.424339,0.000000,0
10000,2.943336,0.000000,0
10000,2.352419,0.000000,0
10000,2.576051,0.000000,0
10000,2.967709,0.000000,0
10000,2.887694,0.000000,0
10000,2.718027,0.000000,0
10000,2.560699,0.000000,0
10000,2.586998,0.000000,0
10000,2.594167,0.000000,0
10000,2.429877,0.000000,0
50000,13.924035,0.000000,0
50000,13.991721,0.000000,0
50000,13.426699,0.000000,0
50000,14.057143,0.000000,0
50000,16.065406,0.000000,0
50000,14.656827,0.000000,0
50000,13.595545,0.000000,0
50000,14.280107,0.000000,0
50000,13.481193,0.000000,0
50000,16.351862,0.000000,0
50000,13.487806,0.000000,0
50000,13.642852,0.000000,0
50000,16.991365,0.000000,0
50000,14.267030,0.000000,0
50000,16.321582,0.000000,0
50000,13.692048,0.000000,0
50000,14.143179,0.000000,0
50000,13.446926,0.000000,0
50000,14.762590,0.000000,0
50000,15.162153,0.000000,0
50000,13.503604,0.000000,0
50000,14.118776,0.000000,0
50000,13.735196,0.000000,0
50000,14.004983,0.000000,0
50000,13.484829,0.000000,0
50000,14.106206,0.000000,0
50000,13.608751,0.000000,0
50000,13.784742,0.000000,0
50000,13.880470,0.000000,0
50000,17.076629,0.000000,0
50000,13.945501,0.000000,0
50000,13.572198,0.000000,0
50000,14.210156,0.000000,0
50000,13.357057,0.000000,0
50000,14.480457,0.000000,0
50000,13.469476,0.000000,0
