count,time,presortedPercentage,descending
10000,2.140235,0.000000,0
10000,2.021236,0.000000,0
10000,2.046403,0.000000,0
10000,2.323504,0.000000,0
10000,2.104351,0.000000,0
10000,2.059358,0.000000,0
10000,2.161756,0.000000,0
10000,2.105548,0.000000,0
10000,2.239247,0.000000,0
10000,2.262121,0.000000,0
10000,2.090901,0.000000,0
10000,2.050602,0.000000,0
10000,2.020088,0.000000,0
10000,2.089207,0.000000,0
10000,2.085701,0.000000,0
10000,2.235674,0.000000,0
10000,2.627732,0.000000,0
10000,2.497857,0.000000,0
10000,3.018137,0.000000,0
10000,2.349015,0.000000,0
10000,2.201644,0.000000,0
10000,2.103745,0.000000,0
10000,3.110808,0.000000,0
10000,2.283657,0.000000,0
10000,2.100594,0.000000,0
10000,2.123928,0.000000,0
10000,2.406826,0.000000,0
10000,2.263916,0.000000,0
10000,2.056443,0.000000,0
10000,1.997419,0.000000,0
10000,2.041596,0.000000,0
10000,2.339426,0.000000,0
10000,2.047673,0.000000,0
10000,2.106441,0.000000,0
10000,2.084869,0.000000,0
10000,2.046620,0.000000,0
10000,2.205201,0.000000,0
10000,2.054925,0.000000,0
10000,2.501880,0.000000,0
10000,2.368372,0.000000,0
10000,2.092653,0.000000,0
10000,2.168752,0.000000,0
10000,2.280386,0.000000,0
10000,2.605471,0.000000,0
10000,2.535529,0.000000,0
10000,3.216056,0.000000,0
10000,2.386651,0.000000,0
10000,2.828917,0.000000,0
10000,2.110739,0.000000,0
10000,2.024132,0.000000,0
10000,2.032978,0.000000,0
10000,2.031821,0.000000,0
10000,2.074719,0.000000,0
10000,2.068407,0.000000,0
10000,1.997950,0.000000,0
10000,2.942848,0.000000,0
10000,2.302949,0.000000,0
10000,2.060522,0.000000,0
10000,2.036174,0.000000,0
10000,2.140938,0.000000,0
10000,2.014784,0.000000,0
10000,2.375770,0.000000,0
10000,2.147670,0.000000,0
10000,2.149474,0.000000,0
10000,2.274125,0.000000,0
10000,3.103327,0.000000,0
10000,2.302931,0.000000,0
10000,2.811833,0.000000,0
10000,2.293342,0.000000,0
10000,2.047351,0.000000,0
10000,2.075932,0.000000,0
10000,2.647024,0.000000,0
10000,2.928830,0.000000,0
10000,2.843308,0.000000,0
10000,2.071403,0.000000,0
10000,2.008631,0.000000,0
10000,2.011117,0.000000,0
10000,2.030875,0.000000,0
10000,2.064830,0.000000,0
10000,2.075330,0.000000,0
10000,2.304933,0.000000,0
10000,2.268609,0.000000,0
10000,2.603662,0.000000,0
10000,2.838205,0.000000,0
10000,2.053378,0.000000,0
10000,2.007951,0.000000,0
10000,2.034151,0.000000,0
10000,2.168640,0.000000,0
10000,2.112919,0.000000,0
10000,2.177142,0.000000,0
10000,2.101250,0.000000,0
10000,2.565046,0.000000,0
10000,2.062274,0.000000,0
10000,2.094749,0.000000,0
10000,2.155806,0.000000,0
10000,2.864194,0.000000,0
10000,2.042907,0.000000,0
10000,2.212485,0.000000,0
10000,2.062410,0.000000,0
10000,2.058203,0.000000,0
50000,14.673948,0.000000,0
50000,13.165383,0.000000,0
50000,12.579898,0.000000,0
50000,15.906239,0.000000,0
50000,14.679354,0.000000,0
50000,12.212328,0.000000,0
50000,11.975776,0.000000,0
50000,12.702257,0.000000,0
50000,12.614802,0.000000,0
50000,12.453270,0.000000,0
50000,12.064226,0.000000,0
50000,12.391079,0.000000,0
50000,12.725326,0.000000,0
50000,12.228455,0.000000,0
50000,12.368245,0.000000,0
50000,12.463633,0.000000,0
50000,12.404167,0.000000,0
50000,12.799330,0.000000,0
50000,12.879820,0.000000,0
50000,12.301467,0.000000,0
50000,12.737813,0.000000,0
50000,13.755687,0.000000,0
50000,12.315297,0.000000,0
50000,12.460384,0.000000,0
50000,12.874695,0.000000,0
50000,12.660115,0.000000,0
50000,12.290333,0.000000,0
50000,12.864785,0.000000,0
50000,12.347136,0.000000,0
50000,13.133890,0.000000,0
50000,11.993960,0.000000,0
50000,12.226410,0.000000,0
50000,14.556294,0.000000,0
50000,13.896501,0.000000,0
50000,12.893592,0.000000,0
50000,12.463394,0.000000,0
50000,12.534818,0.000000,0
50000,13.009434,0.000000,0
50000,12.959813,0.000000,0
50000,15.911765,0.000000,0
50000,13.293635,0.000000,0
50000,13.053160,0.000000,0
50000,12.640980,0.000000,0
50000,13.635994,0.000000,0
50000,12.676285,0.000000,0
50000,12.265746,0.000000,0
50000,12.495031,0.000000,0
50000,12.862121,0.000000,0
50000,12.411463,0.000000,0
50000,12.798707,0.000000,0
50000,12.919991,0.000000,0
50000,12.624431,0.000000,0
50000,12.410373,0.000000,0
50000,12.460073,0.000000,0
50000,12.801954,0.000000,0
50000,12.751946,0.000000,0
50000,13.053084,0.000000,0
50000,12.744303,0.000000,0
50000,12.483683,0.000000,0
50000,12.437510,0.000000,0
50000,12.290548,0.000000,0
50000,13.258480,0.000000,0
50000,12.786078,0.000000,0
50000,12.215103,0.000000,0
50000,13.241304,0.000000,0
50000,12.844661,0.000000,0
50000,12.355910,0.000000,0
50000,12.434668,0.000000,0
50000,12.170759,0.000000,0
50000,12.749477,0.000000,0
50000,12.469465,0.000000,0
50000,12.570636,0.000000,0
50000,12.140920,0.000000,0
50000,13.146640,0.000000,0
50000,12.380703,0.000000,0
50000,12.509736,0.000000,0
50000,13.580295,0.000000,0
50000,13.132678,0.000000,0
50000,12.341638,0.000000,0
50000,12.469700,0.000000,0
50000,12.412113,0.000000,0
50000,12.626971,0.000000,0
50000,12.117786,0.000000,0
50000,13.500822,0.000000,0
50000,12.260947,0.000000,0
50000,13.021653,0.000000,0
50000,11.932637,0.000000,0
50000,12.309587,0.000000,0
50000,12.770222,0.000000,0
50000,12.321479,0.000000,0
50000,12.342390,0.000000,0
50000,12.449752,0.000000,0
50000,15.180000,0.000000,0
50000,13.271307,0.000000,0
50000,13.158408,0.000000,0
50000,14.690954,0.000000,0
50000,12.731447,0.000000,0
50000,12.583650,0.000000,0
50000,12.177210,0.000000,0
50000,12.722765,0.000000,0
100000,27.340553,0.000000,0
100000,28.774953,0.000000,0
100000,25.730066,0.000000,0
100000,26.726884,0.000000,0
100000,26.839037,0.000000,0
100000,25.851686,0.000000,0
100000,26.608722,0.000000,0
100000,26.819747,0.000000,0
100000,26.556580,0.000000,0
100000,26.321042,0.000000,0
100000,26.949420,0.000000,0
100000,26.302316,0.000000,0
100000,27.318724,0.000000,0
100000,26.857202,0.000000,0
100000,25.884757,0.000000,0
100000,26.176866,0.000000,0
100000,26.123272,0.000000,0
100000,26.614614,0.000000,0
100000,30.193652,0.000000,0
100000,26.575602,0.000000,0
100000,25.563825,0.000000,0
100000,25.796892,0.000000,0
100000,25.986436,0.000000,0
100000,26.118774,0.000000,0
100000,25.901091,0.000000,0
100000,28.453096,0.000000,0
100000,29.222744,0.000000,0
100000,25.689287,0.000000,0
100000,30.828075,0.000000,0
100000,27.053242,0.000000,0
100000,29.425515,0.000000,0
100000,27.133282,0.000000,0
100000,27.504593,0.000000,0
100000,28.279080,0.000000,0
100000,26.696437,0.000000,0
100000,26.946247,0.000000,0
100000,27.271806,0.000000,0
100000,28.410076,0.000000,0
100000,26.448877,0.000000,0
100000,25.901609,0.000000,0
100000,27.243389,0.000000,0
100000,25.383006,0.000000,0
100000,26.919398,0.000000,0
100000,25.920119,0.000000,0
100000,26.719488,0.000000,0
100000,28.217031,0.000000,0
100000,25.354938,0.000000,0
100000,29.309046,0.000000,0
100000,27.653607,0.000000,0
100000,27.066873,0.000000,0
100000,27.099650,0.000000,0
100000,28.571007,0.000000,0
100000,25.909919,0.000000,0
100000,25.883957,0.000000,0
100000,25.936072,0.000000,0
100000,28.954218,0.000000,0
100000,30.358660,0.000000,0
100000,28.095920,0.000000,0
100000,29.573081,0.000000,0
100000,26.591475,0.000000,0
100000,27.084156,0.000000,0
100000,27.601355,0.000000,0
100000,27.416970,0.000000,0
100000,26.801173,0.000000,0
100000,27.004838,0.000000,0
100000,26.344326,0.000000,0
100000,26.503966,0.000000,0
100000,27.875111,0.000000,0
100000,26.886384,0.000000,0
100000,26.775760,0.000000,0
100000,26.968437,0.000000,0
100000,27.291343,0.000000,0
100000,25.748264,0.000000,0
100000,26.936489,0.000000,0
100000,28.992152,0.000000,0
100000,26.703220,0.000000,0
100000,26.047613,0.000000,0
100000,25.713442,0.000000,0
100000,27.020002,0.000000,0
100000,27.020157,0.000000,0
100000,26.645195,0.000000,0
100000,26.498903,0.000000,0
100000,26.112538,0.000000,0
100000,26.821968,0.000000,0
100000,26.321073,0.000000,0
100000,26.544825,0.000000,0
100000,30.855535,0.000000,0
100000,25.950340,0.000000,0
100000,25.465278,0.000000,0
100000,27.372896,0.000000,0
100000,26.642761,0.000000,0
100000,27.184911,0.000000,0
100000,25.821503,0.000000,0
100000,26.994495,0.000000,0
100000,26.440861,0.000000,0
100000,26.909606,0.000000,0
100000,26.125307,0.000000,0
100000,26.320302,0.000000,0
100000,25.513586,0.000000,0
100000,25.346050,0.000000,0
500000,143.797273,0.000000,0
500000,144.588436,0.000000,0
500000,142.960888,0.000000,0
500000,146.015453,0.000000,0
500000,146.801999,0.000000,0
500000,147.487558,0.000000,0
500000,146.851849,0.000000,0
500000,144.382522,0.000000,0
500000,142.457077,0.000000,0
500000,151.431667,0.000000,0
500000,156.978178,0.000000,0
500000,147.912426,0.000000,0
500000,146.326748,0.000000,0
500000,141.893494,0.000000,0
500000,147.276765,0.000000,0
500000,150.403104,0.000000,0
500000,149.515898,0.000000,0
500000,145.446970,0.000000,0
500000,152.832386,0.000000,0
500000,144.871090,0.000000,0
500000,144.545348,0.000000,0
500000,143.823321,0.000000,0
500000,145.134991,0.000000,0
500000,144.202341,0.000000,0
500000,140.395945,0.000000,0
500000,139.810853,0.000000,0
500000,145.461868,0.000000,0
500000,145.049857,0.000000,0
500000,144.751402,0.000000,0
500000,146.158353,0.000000,0
500000,144.999552,0.000000,0
500000,145.982419,0.000000,0
500000,146.367374,0.000000,0
500000,143.085266,0.000000,0
500000,145.654886,0.000000,0
500000,142.375819,0.000000,0
500000,139.228489,0.000000,0
500000,144.038583,0.000000,0
500000,147.410054,0.000000,0
500000,144.256327,0.000000,0
500000,146.832854,0.000000,0
500000,151.943840,0.000000,0
500000,144.660305,0.000000,0
500000,144.659813,0.000000,0
500000,154.119869,0.000000,0
500000,141.851216,0.000000,0
