10000,4.501199
50000,15.353471
100000,32.334783
500000,167.824324
1000000,344.499064
10000,2.732066
50000,15.067321
100000,31.211560
500000,168.228015
1000000,343.849586
10000,2.755812
50000,17.472869
100000,31.317233
500000,169.109017
1000000,345.484542
10000,2.734440
50000,16.538434
100000,31.070266
500000,168.017852
1000000,345.201950
10000,2.759373
50000,17.903872
100000,30.984776
500000,168.446477
1000000,348.972932
10000,2.717817
50000,15.040012
100000,31.166439
500000,168.933282
1000000,346.111440
10000,3.164256
50000,16.669040
100000,31.240053
500000,168.890538
1000000,344.147576
10000,2.722566
50000,16.607298
100000,31.154565
500000,167.493037
1000000,345.209054
10000,3.071644
50000,16.678538
100000,31.444275
500000,170.016126
1000000,349.091642
10000,2.723753
50000,16.635793
100000,31.367097
500000,169.313222
1000000,346.294266
10000,2.708318
50000,16.506373
100000,31.390844
500000,170.276149
1000000,351.201533
10000,2.714254
50000,16.631044
100000,31.299417
500000,169.803585
1000000,357.382806
10000,2.722566
50000,16.704658
100000,31.663930
500000,170.586041
1000000,348.573937
10000,2.787869
50000,18.121152
100000,31.185432
500000,169.315585
1000000,348.109687
10000,2.735627
50000,16.848326
100000,31.316039
500000,169.230093
1000000,353.966818
10000,2.700006
50000,15.377214
100000,31.395590
500000,170.221519
1000000,349.276825
10000,2.870983
50000,18.186456
100000,32.269470
500000,170.437611
1000000,348.066926
10000,2.729690
50000,16.524182
100000,31.484640
500000,169.772698
1000000,354.598466
10000,2.646576
50000,16.867322
100000,32.048625
500000,170.200137
1000000,349.243564
10000,2.738001
50000,16.670224
100000,32.535432
500000,168.624539
1000000,349.871662
10000,3.091828
50000,16.642915
100000,31.419334
500000,169.570843
1000000,348.623766
10000,2.732065
50000,16.532492
100000,31.536881
500000,170.678627
1000000,349.197242
10000,2.720191
50000,15.112436
100000,31.421708
500000,169.777437
1000000,350.027186
10000,2.881669
50000,16.640539
100000,31.363528
500000,170.128885
1000000,351.093414
10000,2.755811
50000,16.647663
100000,31.834901
500000,170.746297
1000000,350.532982
10000,2.749874
50000,17.516794
100000,31.447829
500000,171.078751
1000000,358.965448
10000,2.754624
50000,16.809141
100000,31.507195
500000,170.423337
1000000,351.106459
10000,2.862672
50000,15.371274
100000,31.549938
500000,171.014627
1000000,351.849724
10000,2.742750
50000,15.979191
100000,31.418143
500000,170.519508
1000000,349.803935
10000,2.733251
50000,15.519691
100000,31.346903
500000,170.849584
1000000,353.374258
10000,2.727315
50000,17.317320
100000,31.548749
500000,170.520688
1000000,350.740737
10000,2.765309
50000,16.901752
100000,31.395583
500000,170.785463
1000000,351.986246
10000,2.727315
50000,17.184338
100000,31.476321
500000,172.661454
1000000,349.792043
10000,2.740375
50000,18.442916
100000,31.279222
500000,177.946290
1000000,349.224492
10000,2.740376
50000,16.711777
100000,34.027909
500000,170.511179
1000000,350.602983
10000,2.700005
50000,16.826948
100000,31.426452
500000,171.935984
1000000,350.549549
10000,2.759373
50000,16.625100
100000,31.710225
500000,170.381755
1000000,353.089261
10000,2.751061
50000,16.831698
100000,31.717349
500000,170.460116
1000000,349.002438
10000,2.724940
50000,16.824573
100000,31.450197
500000,169.680035
1000000,349.028554
10000,2.774808
50000,16.628663
100000,31.514312
500000,173.101939
1000000,356.886352
10000,2.741563
50000,16.772329
100000,31.361146
500000,169.982799
1000000,349.427491
10000,2.713066
50000,18.371674
100000,33.742944
500000,172.902462
1000000,353.055987
10000,2.832987
50000,17.368372
100000,31.463256
500000,172.530822
1000000,350.093580
10000,2.710692
50000,16.667843
100000,31.508374
500000,170.000603
1000000,349.745684
10000,2.773620
50000,16.589478
100000,31.532121
500000,169.770258
1000000,350.205176
10000,2.756997
50000,15.163486
100000,31.552305
500000,170.245191
1000000,349.902404
10000,2.758185
50000,16.768766
100000,31.922754
500000,170.201256
1000000,353.538026
10000,2.739187
50000,16.772329
100000,32.542544
500000,171.845717
1000000,363.448724
10000,2.702379
50000,18.085523
100000,31.769587
500000,170.832916
1000000,351.102786
10000,2.739187
50000,16.848317
100000,31.435944
500000,170.448216
1000000,350.459246
10000,2.755810
50000,16.727209
100000,31.488187
500000,170.730799
1000000,350.791694
10000,2.756997
50000,17.235389
100000,31.484624
500000,170.419716
1000000,352.426653
10000,2.882855
50000,17.052538
100000,31.855073
500000,170.505202
1000000,350.714511
10000,2.740375
50000,15.125490
100000,32.502171
500000,171.840953
1000000,352.985881
10000,4.226921
50000,18.258873
100000,31.685283
500000,170.324722
1000000,350.968588
10000,3.642751
50000,16.655967
100000,32.477237
500000,173.765623
1000000,355.435350
10000,3.097763
50000,16.915993
100000,32.121034
500000,171.962055
1000000,354.018851
10000,2.719003
50000,17.160585
100000,31.986866
500000,173.976966
1000000,352.008682
10000,2.773620
50000,16.781824
100000,32.148343
500000,170.471944
1000000,352.835067
10000,2.728501
50000,16.815070
100000,32.765758
500000,171.851626
1000000,351.158542
10000,2.970718
50000,16.739080
100000,32.258765
500000,170.004128
1000000,350.714472
10000,3.208185
50000,16.932616
100000,32.121033
500000,170.588296
1000000,351.390064
10000,2.741561
50000,15.243034
100000,31.624726
500000,171.307820
1000000,352.039534
10000,2.756997
50000,16.886310
100000,38.298748
500000,171.005046
1000000,351.508788
10000,2.897102
50000,16.772324
100000,32.071163
500000,171.135653
1000000,353.072507
10000,2.739187
50000,16.697522
100000,31.561796
500000,170.530107
1000000,358.543754
10000,2.734438
50000,16.740266
100000,31.834883
500000,171.180766
1000000,352.748356
10000,2.722564
50000,17.261507
100000,31.655594
500000,170.570474
1000000,352.057319
10000,2.935098
50000,16.701084
100000,32.511664
500000,172.347915
1000000,353.347954
10000,2.735625
50000,18.873910
100000,34.164437
500000,170.602527
1000000,352.376707
10000,2.766496
50000,17.271005
100000,31.680527
500000,171.763742
1000000,365.266432
10000,2.651324
50000,17.063221
100000,31.837256
500000,170.893422
1000000,352.151104
10000,2.732062
50000,16.785384
100000,31.636595
500000,170.797244
1000000,351.886326
10000,2.930348
50000,16.699896
100000,31.897809
500000,171.357665
1000000,351.575237
10000,2.710690
50000,16.739077
100000,31.500051
500000,170.754497
1000000,352.859932
10000,3.382723
50000,17.626018
100000,31.861000
500000,171.744733
1000000,352.693702
10000,2.805678
50000,15.094615
100000,31.713771
500000,170.946840
1000000,354.971009
10000,2.713065
50000,16.867309
100000,31.510736
500000,170.553831
1000000,356.738949
10000,3.031271
50000,16.792506
100000,31.910868
500000,181.731418
1000000,356.811375
10000,2.643012
50000,16.781820
100000,33.324985
500000,171.253168
1000000,353.438146
10000,2.728501
50000,16.669023
100000,31.465616
500000,170.722427
1000000,357.039333
10000,3.119134
50000,15.238281
100000,32.967597
500000,170.391158
1000000,359.197910
10000,3.591694
50000,16.975355
100000,33.038836
500000,173.505540
1000000,356.814921
10000,2.957656
50000,19.726415
100000,35.730529
500000,171.677040
1000000,353.720715
10000,2.768870
50000,15.210973
100000,31.836064
500000,171.652105
1000000,355.728498
10000,2.922036
50000,16.227333
100000,34.175117
500000,169.979143
1000000,368.220467
10000,2.868606
50000,15.710841
100000,32.651764
500000,172.751572
1000000,355.064769
10000,2.735624
50000,16.659523
100000,32.335931
500000,170.825712
1000000,356.976376
10000,2.794991
50000,15.560049
100000,32.917726
500000,171.241278
1000000,355.790227
10000,2.878105
50000,15.399758
100000,32.058093
500000,174.081385
1000000,358.052098
10000,2.734437
50000,15.437753
100000,32.460600
500000,175.542997
1000000,358.991275
10000,2.868606
50000,17.246067
100000,32.077090
500000,172.084281
1000000,361.437188
10000,3.480084
50000,16.931422
100000,33.583820
500000,177.603020
1000000,357.440609
10000,2.711877
50000,15.417568
100000,32.160203
500000,174.846023
1000000,360.520555
10000,2.781930
50000,15.347515
100000,31.985665
500000,172.524778
1000000,359.708413
10000,3.015835
50000,15.637225
100000,32.242129
500000,174.670293
1000000,359.045877
10000,3.865968
50000,15.260839
100000,32.302683
500000,177.240875
1000000,360.059857
10000,2.676257
50000,15.544613
100000,32.631575
500000,173.498390
1000000,357.812224
10000,2.771243
50000,15.330891
100000,33.161127
500000,177.357231
1000000,358.948504
10000,2.743935
50000,15.303583
100000,33.145691
500000,174.257092
1000000,359.001930
