count,time,presortedPercentage,descending
10000,0.892542,0.000000,0
10000,0.946725,0.000000,0
10000,1.361952,0.000000,0
10000,1.575409,0.000000,0
10000,0.930020,0.000000,0
10000,0.903596,0.000000,0
10000,0.913009,0.000000,0
10000,1.164057,0.000000,0
10000,0.949457,0.000000,0
10000,1.000918,0.000000,0
10000,1.045177,0.000000,0
10000,0.948826,0.000000,0
10000,0.921332,0.000000,0
10000,1.385622,0.000000,0
10000,0.965846,0.000000,0
10000,1.048849,0.000000,0
10000,1.021273,0.000000,0
10000,0.928511,0.000000,0
10000,1.509064,0.000000,0
10000,1.129710,0.000000,0
10000,1.451899,0.000000,0
10000,0.961043,0.000000,0
10000,0.923912,0.000000,0
10000,1.123234,0.000000,0
10000,0.962297,0.000000,0
10000,0.986345,0.000000,0
10000,0.926981,0.000000,0
10000,1.359580,0.000000,0
10000,0.971730,0.000000,0
10000,1.294767,0.000000,0
10000,0.961971,0.000000,0
10000,0.938250,0.000000,0
10000,0.957158,0.000000,0
10000,1.048828,0.000000,0
10000,1.372977,0.000000,0
10000,0.899344,0.000000,0
10000,0.951467,0.000000,0
10000,0.896988,0.000000,0
10000,0.931387,0.000000,0
10000,1.258533,0.000000,0
10000,0.944135,0.000000,0
10000,0.921596,0.000000,0
10000,0.893429,0.000000,0
10000,0.910654,0.000000,0
10000,1.273555,0.000000,0
10000,0.975402,0.000000,0
10000,1.262535,0.000000,0
10000,1.133840,0.000000,0
10000,1.478629,0.000000,0
10000,0.994070,0.000000,0
10000,1.289463,0.000000,0
10000,0.961114,0.000000,0
10000,1.140397,0.000000,0
10000,1.472235,0.000000,0
10000,0.917017,0.000000,0
10000,1.053672,0.000000,0
10000,0.939703,0.000000,0
10000,0.921412,0.000000,0
10000,0.995034,0.000000,0
10000,1.547354,0.000000,0
10000,1.026402,0.000000,0
10000,0.936914,0.000000,0
10000,1.077944,0.000000,0
10000,0.982561,0.000000,0
10000,0.886872,0.000000,0
10000,1.234629,0.000000,0
10000,0.893378,0.000000,0
10000,0.914152,0.000000,0
10000,0.989802,0.000000,0
10000,0.963225,0.000000,0
10000,0.926012,0.000000,0
10000,0.957983,0.000000,0
10000,0.908665,0.000000,0
